enrollment,interval,start,end,model
52,Monthly,8/1/2020,8/31/2020,Virtual
302,Monthly,8/1/2020,8/31/2020,Virtual
1458,Monthly,8/1/2020,8/31/2020,Virtual
644,Monthly,8/1/2020,8/31/2020,Virtual
448,Monthly,8/1/2020,8/31/2020,Virtual
672,Monthly,8/1/2020,8/31/2020,Virtual
604,Monthly,8/1/2020,8/31/2020,Virtual
634,Monthly,8/1/2020,8/31/2020,Virtual
2231,Monthly,8/1/2020,8/31/2020,Virtual
492,Monthly,8/1/2020,8/31/2020,Virtual
384,Monthly,8/1/2020,8/31/2020,Virtual
343,Monthly,8/1/2020,8/31/2020,Virtual
1892,Monthly,8/1/2020,8/31/2020,Virtual
604,Monthly,8/1/2020,8/31/2020,Virtual
517,Monthly,8/1/2020,8/31/2020,Virtual
297,Monthly,8/1/2020,8/31/2020,Virtual
325,Monthly,8/1/2020,8/31/2020,Virtual
440,Monthly,8/1/2020,8/31/2020,Virtual
740,Monthly,8/1/2020,8/31/2020,Virtual
427,Monthly,8/1/2020,8/31/2020,Virtual
657,Monthly,8/1/2020,8/31/2020,Virtual
755,Monthly,8/1/2020,8/31/2020,Virtual
552,Monthly,8/1/2020,8/31/2020,Virtual
599,Monthly,8/1/2020,8/31/2020,Virtual
607,Monthly,8/1/2020,8/31/2020,Virtual
646,Monthly,8/1/2020,8/31/2020,Virtual
1019,Monthly,8/1/2020,8/31/2020,Virtual
405,Monthly,8/1/2020,8/31/2020,Virtual
575,Monthly,8/1/2020,8/31/2020,Virtual
293,Monthly,8/1/2020,8/31/2020,Virtual
446,Monthly,8/1/2020,8/31/2020,Virtual
1466,Monthly,8/1/2020,8/31/2020,Virtual
63,Monthly,8/1/2020,8/31/2020,Virtual
44,Monthly,8/1/2020,8/31/2020,Virtual
1303,Monthly,8/1/2020,8/31/2020,Virtual
1400,Monthly,8/1/2020,8/31/2020,Virtual
1580,Monthly,8/1/2020,8/31/2020,Virtual
1174,Monthly,8/1/2020,8/31/2020,Virtual
144,Monthly,8/1/2020,8/31/2020,Virtual
495,Monthly,8/1/2020,8/31/2020,Virtual
752,Monthly,8/1/2020,8/31/2020,Virtual
430,Monthly,8/1/2020,8/31/2020,Virtual
223,Monthly,8/1/2020,8/31/2020,Virtual
244,Monthly,8/1/2020,8/31/2020,Virtual
239,Monthly,8/1/2020,8/31/2020,Virtual
607,Monthly,8/1/2020,8/31/2020,Virtual
216,Monthly,8/1/2020,8/31/2020,Virtual
571,Monthly,8/1/2020,8/31/2020,Virtual
274,Monthly,8/1/2020,8/31/2020,Virtual
287,Monthly,8/1/2020,8/31/2020,Virtual
358,Monthly,8/1/2020,8/31/2020,Virtual
302,Monthly,8/1/2020,8/31/2020,Virtual
254,Monthly,8/1/2020,8/31/2020,Virtual
644,Monthly,8/1/2020,8/31/2020,Virtual
400,Monthly,8/1/2020,8/31/2020,Virtual
567,Monthly,8/1/2020,8/31/2020,Virtual
