enrollment,interval,start,end ,model
162,Monthly,8/1/2020,8/31/2020,Virtual
162,Monthly,9/1/2020,9/30/2020,Virtual
162,Monthly,10/1/2020,10/31/2020,Hybrid
162,Monthly,11/1/2020,11/30/2020,Virtual
162,Monthly,12/1/2020,12/31/2020,Hybrid
162,Monthly,1/1/2021,1/31/2021,Hybrid
162,Monthly,2/1/2021,2/28/2021,Hybrid
162,Monthly,3/1/2021,3/31/2021,In-person
162,Monthly,4/1/2021,4/30/2021,In-person
162,Monthly,5/1/2021,5/31/2021,In-person
162,Monthly,6/1/2021,6/30/2021,In-person
225,Monthly,8/1/2020,8/31/2020,Virtual
225,Monthly,9/1/2020,9/30/2020,Virtual
225,Monthly,10/1/2020,10/31/2020,Virtual
225,Monthly,11/1/2020,11/30/2020,Virtual
225,Monthly,12/1/2020,12/31/2020,Virtual
225,Monthly,1/1/2021,1/31/2021,Virtual
225,Monthly,2/1/2021,2/28/2021,Virtual
225,Monthly,3/1/2021,3/31/2021,Virtual
225,Monthly,4/1/2021,4/30/2021,In-person
225,Monthly,5/1/2021,5/31/2021,In-person
225,Monthly,6/1/2021,6/30/2021,Closed
249,Monthly,8/1/2020,8/31/2020,Virtual
249,Monthly,9/1/2020,9/30/2020,Virtual
249,Monthly,10/1/2020,10/31/2020,Virtual
249,Monthly,11/1/2020,11/30/2020,Virtual
249,Monthly,12/1/2020,12/31/2020,Virtual
249,Monthly,1/1/2021,1/31/2021,Virtual
249,Monthly,2/1/2021,2/28/2021,Virtual
249,Monthly,3/1/2021,3/31/2021,Virtual
249,Monthly,4/1/2021,4/30/2021,In-person
249,Monthly,5/1/2021,5/31/2021,In-person
249,Monthly,6/1/2021,6/30/2021,Closed
1777,Monthly,8/1/2020,8/31/2020,Hybrid
1777,Monthly,9/1/2020,9/30/2020,Virtual
1777,Monthly,10/1/2020,10/31/2020,Hybrid
1777,Monthly,11/1/2020,11/30/2020,Virtual
1777,Monthly,12/1/2020,12/31/2020,Virtual
1777,Monthly,1/1/2021,1/31/2021,Hybrid
1777,Monthly,2/1/2021,2/28/2021,Hybrid
1777,Monthly,3/1/2021,3/31/2021,Hybrid
1777,Monthly,4/1/2021,4/30/2021,Hybrid
1777,Monthly,5/1/2021,5/31/2021,Hybrid
1777,Monthly,6/1/2021,6/30/2021,Closed
304,Monthly,8/1/2020,8/31/2020,Closed
304,Monthly,9/1/2020,9/30/2020,In-person
304,Monthly,10/1/2020,10/31/2020,In-person
304,Monthly,11/1/2020,11/30/2020,In-person
304,Monthly,12/1/2020,12/31/2020,Virtual
304,Monthly,1/1/2021,1/31/2021,In-person
304,Monthly,2/1/2021,2/28/2021,In-person
304,Monthly,3/1/2021,3/31/2021,In-person
304,Monthly,4/1/2021,4/30/2021,In-person
304,Monthly,5/1/2021,5/31/2021,In-person
304,Monthly,6/1/2021,6/30/2021,In-person
338,Monthly,8/1/2020,8/31/2020,Virtual
338,Monthly,9/1/2020,9/30/2020,Hybrid
338,Monthly,10/1/2020,10/31/2020,Hybrid
338,Monthly,11/1/2020,11/30/2020,Hybrid
338,Monthly,12/1/2020,12/31/2020,Hybrid
338,Monthly,1/1/2021,1/31/2021,Hybrid
338,Monthly,2/1/2021,2/28/2021,In-person
338,Monthly,3/1/2021,3/31/2021,In-person
338,Monthly,4/1/2021,4/30/2021,In-person
338,Monthly,5/1/2021,5/31/2021,In-person
338,Monthly,6/1/2021,6/30/2021,Closed
387,Monthly,8/1/2020,8/31/2020,Virtual
387,Monthly,9/1/2020,9/30/2020,Virtual
387,Monthly,10/1/2020,10/31/2020,Virtual
387,Monthly,11/1/2020,11/30/2020,Virtual
387,Monthly,12/1/2020,12/31/2020,Virtual
387,Monthly,1/1/2021,1/31/2021,Virtual
387,Monthly,2/1/2021,2/28/2021,Virtual
387,Monthly,3/1/2021,3/31/2021,Virtual
387,Monthly,4/1/2021,4/30/2021,Virtual
387,Monthly,5/1/2021,5/31/2021,Hybrid
387,Monthly,6/1/2021,6/30/2021,Closed
