enrollment,interval,start,end,model
1425,Bi-weekly,9/3/2020,9/16/2020,
1425,Bi-weekly,9/17/2020,9/30/2020,
1425,Bi-weekly,10/1/2020,10/14/2020,Hybrid
1425,Bi-weekly,10/15/2020,10/28/2020,Hybrid
1425,Bi-weekly,10/30/2020,11/12/2020,Hybrid
1425,Bi-weekly,11/12/2020,11/25/2020,Hybrid
1425,Bi-weekly,12/4/2020,12/17/2020,Hybrid
1425,Bi-weekly,1/7/2021,1/20/2021,Hybrid
1425,Bi-weekly,1/21/2021,2/3/2021,Hybrid
1425,Bi-weekly,2/4/2021,2/17/2021,Hybrid
1425,Bi-weekly,2/18/2021,3/3/2021,Hybrid
1425,Bi-weekly,3/4/2021,3/17/2021,Hybrid
1425,Bi-weekly,3/18/2021,3/31/2021,Hybrid
1425,Bi-weekly,4/1/2021,4/14/2021,
1425,Bi-weekly,4/15/2021,4/28/2021,In-person
1425,Bi-weekly,4/29/2021,5/12/2021,In-person
1425,Bi-weekly,5/13/2021,5/26/2021,In-person
2058,Bi-weekly,9/3/2020,9/16/2020,
2058,Bi-weekly,9/17/2020,9/30/2020,
2058,Bi-weekly,10/1/2020,10/14/2020,Hybrid
2058,Bi-weekly,10/15/2020,10/28/2020,Hybrid
2058,Bi-weekly,10/30/2020,11/12/2020,Hybrid
2058,Bi-weekly,11/12/2020,11/25/2020,Hybrid
2058,Bi-weekly,12/4/2020,12/17/2020,Hybrid
2058,Bi-weekly,1/7/2021,1/20/2021,Hybrid
2058,Bi-weekly,1/21/2021,2/3/2021,Hybrid
2058,Bi-weekly,2/4/2021,2/17/2021,Hybrid
2058,Bi-weekly,2/18/2021,3/3/2021,Hybrid
2058,Bi-weekly,3/4/2021,3/17/2021,Hybrid
2058,Bi-weekly,3/18/2021,3/31/2021,Hybrid
2058,Bi-weekly,4/1/2021,4/14/2021,In-person
2058,Bi-weekly,4/15/2021,4/28/2021,In-person
2058,Bi-weekly,4/29/2021,5/12/2021,In-person
2058,Bi-weekly,5/13/2021,5/26/2021,In-person
540,Bi-weekly,9/3/2020,9/16/2020,
540,Bi-weekly,9/17/2020,9/30/2020,
540,Bi-weekly,10/1/2020,10/14/2020,Virtual
540,Bi-weekly,10/15/2020,10/28/2020,Virtual
540,Bi-weekly,10/30/2020,11/12/2020,Virtual
540,Bi-weekly,11/12/2020,11/25/2020,Virtual
540,Bi-weekly,12/4/2020,12/17/2020,Virtual
540,Bi-weekly,1/7/2021,1/20/2021,Virtual
540,Bi-weekly,1/21/2021,2/3/2021,Virtual
540,Bi-weekly,2/4/2021,2/17/2021,Virtual
540,Bi-weekly,2/18/2021,3/3/2021,Hybrid
540,Bi-weekly,3/4/2021,3/17/2021,Hybrid
540,Bi-weekly,3/18/2021,3/31/2021,In-person
540,Bi-weekly,4/1/2021,4/14/2021,In-person
540,Bi-weekly,4/15/2021,4/28/2021,In-person
540,Bi-weekly,4/29/2021,5/12/2021,In-person
540,Bi-weekly,5/13/2021,5/26/2021,In-person
78,Bi-weekly,9/3/2020,9/16/2020,
78,Bi-weekly,9/17/2020,9/30/2020,
78,Bi-weekly,11/12/2020,11/25/2020,
78,Bi-weekly,12/4/2020,12/17/2020,
78,Bi-weekly,1/7/2021,1/20/2021,
78,Bi-weekly,1/21/2021,2/3/2021,
78,Bi-weekly,2/4/2021,2/17/2021,
78,Bi-weekly,2/18/2021,3/3/2021,
78,Bi-weekly,3/4/2021,3/17/2021,
78,Bi-weekly,3/18/2021,3/31/2021,
78,Bi-weekly,4/1/2021,4/14/2021,
78,Bi-weekly,4/15/2021,4/28/2021,
78,Bi-weekly,4/29/2021,5/12/2021,
78,Bi-weekly,5/13/2021,5/26/2021,
5130,Bi-weekly,9/3/2020,9/16/2020,
5130,Bi-weekly,9/17/2020,9/30/2020,
5130,Bi-weekly,10/1/2020,10/14/2020,Hybrid
5130,Bi-weekly,10/15/2020,10/28/2020,Hybrid
5130,Bi-weekly,10/30/2020,11/12/2020,Hybrid
5130,Bi-weekly,11/12/2020,11/25/2020,Hybrid
5130,Bi-weekly,12/4/2020,12/17/2020,Hybrid
5130,Bi-weekly,1/7/2021,1/20/2021,Hybrid
5130,Bi-weekly,1/21/2021,2/3/2021,Hybrid
5130,Bi-weekly,2/4/2021,2/17/2021,Hybrid
5130,Bi-weekly,2/18/2021,3/3/2021,Hybrid
5130,Bi-weekly,3/4/2021,3/17/2021,Hybrid
5130,Bi-weekly,3/18/2021,3/31/2021,Hybrid
5130,Bi-weekly,4/1/2021,4/14/2021,Hybrid
5130,Bi-weekly,4/15/2021,4/28/2021,In-person
5130,Bi-weekly,4/29/2021,5/12/2021,In-person
5130,Bi-weekly,5/13/2021,5/26/2021,In-person
882,Bi-weekly,9/3/2020,9/16/2020,
882,Bi-weekly,9/17/2020,9/30/2020,
882,Bi-weekly,10/1/2020,10/14/2020,Hybrid
882,Bi-weekly,10/15/2020,10/28/2020,Hybrid
882,Bi-weekly,10/30/2020,11/12/2020,Hybrid
882,Bi-weekly,11/12/2020,11/25/2020,Hybrid
882,Bi-weekly,12/4/2020,12/17/2020,Hybrid
882,Bi-weekly,1/7/2021,1/20/2021,Hybrid
882,Bi-weekly,1/21/2021,2/3/2021,Hybrid
882,Bi-weekly,2/4/2021,2/17/2021,Hybrid
882,Bi-weekly,2/18/2021,3/3/2021,Hybrid
882,Bi-weekly,3/4/2021,3/17/2021,Hybrid
882,Bi-weekly,3/18/2021,3/31/2021,Hybrid
882,Bi-weekly,4/1/2021,4/14/2021,In-person
882,Bi-weekly,4/15/2021,4/28/2021,In-person
882,Bi-weekly,4/29/2021,5/12/2021,In-person
882,Bi-weekly,5/13/2021,5/26/2021,In-person
966,Bi-weekly,9/3/2020,9/16/2020,
966,Bi-weekly,9/17/2020,9/30/2020,
966,Bi-weekly,10/1/2020,10/14/2020,Virtual
966,Bi-weekly,10/15/2020,10/28/2020,Virtual
966,Bi-weekly,10/30/2020,11/12/2020,Virtual
966,Bi-weekly,11/12/2020,11/25/2020,Virtual
966,Bi-weekly,12/4/2020,12/17/2020,Virtual
966,Bi-weekly,1/7/2021,1/20/2021,Virtual
966,Bi-weekly,1/21/2021,2/3/2021,Virtual
966,Bi-weekly,2/4/2021,2/17/2021,Virtual
966,Bi-weekly,2/18/2021,3/3/2021,Virtual
966,Bi-weekly,3/4/2021,3/17/2021,Virtual
966,Bi-weekly,3/18/2021,3/31/2021,Virtual
966,Bi-weekly,4/1/2021,4/14/2021,Virtual
966,Bi-weekly,4/15/2021,4/28/2021,Virtual
966,Bi-weekly,4/29/2021,5/12/2021,In-person
966,Bi-weekly,5/13/2021,5/26/2021,In-person
3402,Bi-weekly,9/3/2020,9/16/2020,
3402,Bi-weekly,9/17/2020,9/30/2020,
3402,Bi-weekly,10/1/2020,10/14/2020,
3402,Bi-weekly,10/15/2020,10/28/2020,Hybrid
3402,Bi-weekly,10/30/2020,11/12/2020,Hybrid
3402,Bi-weekly,11/12/2020,11/25/2020,Hybrid
3402,Bi-weekly,12/4/2020,12/17/2020,Virtual
3402,Bi-weekly,1/7/2021,1/20/2021,Virtual
3402,Bi-weekly,1/21/2021,2/3/2021,Hybrid
3402,Bi-weekly,2/4/2021,2/17/2021,Hybrid
3402,Bi-weekly,2/18/2021,3/3/2021,Hybrid
3402,Bi-weekly,3/4/2021,3/17/2021,Hybrid
3402,Bi-weekly,3/18/2021,3/31/2021,Hybrid
3402,Bi-weekly,4/1/2021,4/14/2021,In-person
3402,Bi-weekly,4/15/2021,4/28/2021,In-person
3402,Bi-weekly,4/29/2021,5/12/2021,In-person
3402,Bi-weekly,5/13/2021,5/26/2021,In-person
797,Bi-weekly,9/3/2020,9/16/2020,
797,Bi-weekly,9/17/2020,9/30/2020,
797,Bi-weekly,10/1/2020,10/14/2020,Hybrid
797,Bi-weekly,10/15/2020,10/28/2020,Virtual
797,Bi-weekly,10/30/2020,11/12/2020,Virtual
797,Bi-weekly,11/12/2020,11/25/2020,Virtual
797,Bi-weekly,12/4/2020,12/17/2020,Virtual
797,Bi-weekly,1/7/2021,1/20/2021,Virtual
797,Bi-weekly,1/21/2021,2/3/2021,Virtual
797,Bi-weekly,2/4/2021,2/17/2021,Virtual
797,Bi-weekly,2/18/2021,3/3/2021,Virtual
797,Bi-weekly,3/4/2021,3/17/2021,Virtual
797,Bi-weekly,3/18/2021,3/31/2021,Virtual
797,Bi-weekly,4/1/2021,4/14/2021,Virtual
797,Bi-weekly,4/15/2021,4/28/2021,In-person
797,Bi-weekly,4/29/2021,5/12/2021,In-person
797,Bi-weekly,5/13/2021,5/26/2021,In-person
1819,Bi-weekly,9/3/2020,9/16/2020,
1819,Bi-weekly,9/17/2020,9/30/2020,
1819,Bi-weekly,10/1/2020,10/14/2020,
1819,Bi-weekly,10/15/2020,10/28/2020,Hybrid
1819,Bi-weekly,10/30/2020,11/12/2020,Hybrid
1819,Bi-weekly,11/12/2020,11/25/2020,Hybrid
1819,Bi-weekly,12/4/2020,12/17/2020,Hybrid
1819,Bi-weekly,1/7/2021,1/20/2021,Hybrid
1819,Bi-weekly,1/21/2021,2/3/2021,Hybrid
1819,Bi-weekly,2/4/2021,2/17/2021,Hybrid
1819,Bi-weekly,2/18/2021,3/3/2021,Hybrid
1819,Bi-weekly,3/4/2021,3/17/2021,Hybrid
1819,Bi-weekly,3/18/2021,3/31/2021,Hybrid
