enrollment,interval,start,end,model
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
542,Biweekly,10/12/2020,10/25/2020,Hybrid
504,Biweekly,10/26/2020,11/9/2020,
504,Biweekly,11/9/2020,11/29/2020,Hybrid
504,Biweekly,11/30/2020,12/13/2020,Hybrid
533,Biweekly,1/4/2021,1/17/2021,Hybrid
533,Biweekly,1/18/2021,1/31/2021,Hybrid
533,Biweekly,2/1/2021,2/14/2021,Hybrid
533,Biweekly,2/15/2021,2/28/2021,Hybrid
533,Biweekly,3/1/2021,3/14/2021,Hybrid
533,Biweekly,3/15/2021,3/28/2021,Hybrid
533,Biweekly,3/29/2021,4/11/2021,Hybrid
533,Biweekly,4/12/2021,4/25/2021,Hybrid
533,Biweekly,4/26/2021,5/9/2021,Hybrid
533,Biweekly,5/10/2021,5/23/2021,Hybrid
533,Biweekly,5/24/2021,6/6/2021,Hybrid
533,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
210,Biweekly,10/12/2020,10/25/2020,Hybrid
159,Biweekly,10/26/2020,11/9/2020,
159,Biweekly,11/9/2020,11/29/2020,Hybrid
159,Biweekly,11/30/2020,12/13/2020,Hybrid
193,Biweekly,1/4/2021,1/17/2021,Hybrid
193,Biweekly,1/18/2021,1/31/2021,Hybrid
193,Biweekly,2/1/2021,2/14/2021,Hybrid
193,Biweekly,2/15/2021,2/28/2021,Hybrid
193,Biweekly,3/1/2021,3/14/2021,Hybrid
193,Biweekly,3/15/2021,3/28/2021,Hybrid
193,Biweekly,3/29/2021,4/11/2021,Hybrid
193,Biweekly,4/12/2021,4/25/2021,Hybrid
193,Biweekly,4/26/2021,5/9/2021,Hybrid
193,Biweekly,5/10/2021,5/23/2021,Hybrid
193,Biweekly,5/24/2021,6/6/2021,Hybrid
193,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
440,Biweekly,10/12/2020,10/25/2020,In-person
365,Biweekly,10/26/2020,11/9/2020,
365,Biweekly,11/9/2020,11/29/2020,In-person
365,Biweekly,11/30/2020,12/13/2020,Virtual
365,Biweekly,1/4/2021,1/17/2021,Virtual
365,Biweekly,1/18/2021,1/31/2021,Virtual
365,Biweekly,2/1/2021,2/14/2021,Virtual
365,Biweekly,2/15/2021,2/28/2021,In-person
405,Biweekly,3/1/2021,3/14/2021,In-person
365,Biweekly,3/15/2021,3/28/2021,In-person
365,Biweekly,3/29/2021,4/11/2021,In-person
365,Biweekly,4/12/2021,4/25/2021,In-person
365,Biweekly,4/26/2021,5/9/2021,In-person
365,Biweekly,5/10/2021,5/23/2021,In-person
365,Biweekly,5/24/2021,6/6/2021,In-person
360,Biweekly,6/7/2021,6/20/2021,In-person
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
358,Biweekly,10/12/2020,10/25/2020,Hybrid
358,Biweekly,10/26/2020,11/9/2020,
358,Biweekly,11/9/2020,11/29/2020,Hybrid
355,Biweekly,11/30/2020,12/13/2020,Hybrid
354,Biweekly,1/4/2021,1/17/2021,Hybrid
358,Biweekly,1/18/2021,1/31/2021,Hybrid
395,Biweekly,2/1/2021,2/14/2021,Hybrid
395,Biweekly,2/15/2021,2/28/2021,Hybrid
395,Biweekly,3/1/2021,3/14/2021,Hybrid
395,Biweekly,3/15/2021,3/28/2021,Hybrid
395,Biweekly,3/29/2021,4/11/2021,Hybrid
395,Biweekly,4/12/2021,4/25/2021,Hybrid
0,Biweekly,4/26/2021,5/9/2021,Hybrid
404,Biweekly,5/10/2021,5/23/2021,Hybrid
404,Biweekly,5/24/2021,6/6/2021,Hybrid
404,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
698,Biweekly,10/12/2020,10/25/2020,Hybrid
698,Biweekly,10/26/2020,11/9/2020,
698,Biweekly,11/9/2020,11/29/2020,Hybrid
698,Biweekly,11/30/2020,12/13/2020,Hybrid
698,Biweekly,1/4/2021,1/17/2021,Hybrid
698,Biweekly,1/18/2021,1/31/2021,Hybrid
698,Biweekly,2/1/2021,2/14/2021,Hybrid
698,Biweekly,2/15/2021,2/28/2021,Hybrid
698,Biweekly,3/1/2021,3/14/2021,Hybrid
698,Biweekly,3/15/2021,3/28/2021,Hybrid
698,Biweekly,3/29/2021,4/11/2021,Hybrid
698,Biweekly,4/12/2021,4/25/2021,Hybrid
698,Biweekly,4/26/2021,5/9/2021,Hybrid
698,Biweekly,5/10/2021,5/23/2021,Hybrid
698,Biweekly,5/24/2021,6/6/2021,Hybrid
698,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
554,Biweekly,10/12/2020,10/25/2020,Hybrid
556,Biweekly,10/26/2020,11/9/2020,
560,Biweekly,11/9/2020,11/29/2020,Hybrid
560,Biweekly,11/30/2020,12/13/2020,Hybrid
565,Biweekly,1/4/2021,1/17/2021,Hybrid
0,Biweekly,1/18/2021,1/31/2021,Hybrid
566,Biweekly,2/1/2021,2/14/2021,Hybrid
567,Biweekly,2/15/2021,2/28/2021,Hybrid
0,Biweekly,3/1/2021,3/14/2021,Hybrid
571,Biweekly,3/15/2021,3/28/2021,Hybrid
571,Biweekly,3/29/2021,4/11/2021,Hybrid
122,Biweekly,4/12/2021,4/25/2021,Hybrid
571,Biweekly,4/26/2021,5/9/2021,Hybrid
570,Biweekly,5/10/2021,5/23/2021,Hybrid
569,Biweekly,5/24/2021,6/6/2021,Hybrid
569,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
267,Biweekly,10/12/2020,10/25/2020,Hybrid
266,Biweekly,10/26/2020,11/9/2020,
261,Biweekly,11/9/2020,11/29/2020,Hybrid
269,Biweekly,11/30/2020,12/13/2020,Virtual
269,Biweekly,1/4/2021,1/17/2021,Hybrid
269,Biweekly,1/18/2021,1/31/2021,Hybrid
269,Biweekly,2/1/2021,2/14/2021,Hybrid
269,Biweekly,2/15/2021,2/28/2021,Hybrid
272,Biweekly,3/1/2021,3/14/2021,Hybrid
272,Biweekly,3/15/2021,3/28/2021,Hybrid
273,Biweekly,3/29/2021,4/11/2021,Hybrid
276,Biweekly,4/12/2021,4/25/2021,Hybrid
276,Biweekly,4/26/2021,5/9/2021,In-person
276,Biweekly,5/10/2021,5/23/2021,In-person
276,Biweekly,5/24/2021,6/6/2021,In-person
276,Biweekly,6/7/2021,6/20/2021,In-person
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
850,Biweekly,10/12/2020,10/25/2020,Hybrid
852,Biweekly,10/26/2020,11/9/2020,
853,Biweekly,11/9/2020,11/29/2020,Hybrid
853,Biweekly,11/30/2020,12/13/2020,Hybrid
851,Biweekly,1/4/2021,1/17/2021,Hybrid
850,Biweekly,1/18/2021,1/31/2021,Hybrid
850,Biweekly,2/1/2021,2/14/2021,Hybrid
850,Biweekly,2/15/2021,2/28/2021,Hybrid
847,Biweekly,3/1/2021,3/14/2021,Hybrid
846,Biweekly,3/15/2021,3/28/2021,Hybrid
845,Biweekly,3/29/2021,4/11/2021,Hybrid
845,Biweekly,4/12/2021,4/25/2021,Hybrid
846,Biweekly,4/26/2021,5/9/2021,Hybrid
848,Biweekly,5/10/2021,5/23/2021,Hybrid
848,Biweekly,5/24/2021,6/6/2021,Hybrid
848,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
373,Biweekly,10/12/2020,10/25/2020,Hybrid
375,Biweekly,10/26/2020,11/9/2020,
379,Biweekly,11/9/2020,11/29/2020,Hybrid
375,Biweekly,11/30/2020,12/13/2020,Hybrid
375,Biweekly,1/4/2021,1/17/2021,Hybrid
383,Biweekly,1/18/2021,1/31/2021,Hybrid
385,Biweekly,2/1/2021,2/14/2021,Virtual
387,Biweekly,2/15/2021,2/28/2021,Hybrid
387,Biweekly,3/1/2021,3/14/2021,Hybrid
384,Biweekly,3/15/2021,3/28/2021,Hybrid
383,Biweekly,3/29/2021,4/11/2021,Hybrid
382,Biweekly,4/12/2021,4/25/2021,In-person
378,Biweekly,4/26/2021,5/9/2021,In-person
380,Biweekly,5/10/2021,5/23/2021,In-person
378,Biweekly,5/24/2021,6/6/2021,In-person
371,Biweekly,6/7/2021,6/20/2021,In-person
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
326,Biweekly,10/12/2020,10/25/2020,Hybrid
329,Biweekly,10/26/2020,11/9/2020,
329,Biweekly,11/9/2020,11/29/2020,Hybrid
326,Biweekly,11/30/2020,12/13/2020,Hybrid
329,Biweekly,1/4/2021,1/17/2021,Hybrid
333,Biweekly,1/18/2021,1/31/2021,Hybrid
325,Biweekly,2/1/2021,2/14/2021,Virtual
323,Biweekly,2/15/2021,2/28/2021,Hybrid
328,Biweekly,3/1/2021,3/14/2021,Hybrid
321,Biweekly,3/15/2021,3/28/2021,Hybrid
322,Biweekly,3/29/2021,4/11/2021,Hybrid
330,Biweekly,4/12/2021,4/25/2021,In-person
320,Biweekly,4/26/2021,5/9/2021,In-person
319,Biweekly,5/10/2021,5/23/2021,In-person
322,Biweekly,5/24/2021,6/6/2021,In-person
318,Biweekly,6/7/2021,6/20/2021,In-person
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
1571,Biweekly,10/12/2020,10/25/2020,Hybrid
