enrollment,interval,start,end,model
487,Monthly,8/17/2020,8/31/2020,Virtual
487,Monthly,9/1/2020,9/30/2020,Virtual
486,Monthly,10/1/2020,10/31/2020,Virtual
483,Monthly,11/1/2020,11/30/2020,Virtual
481,Monthly,12/1/2020,12/31/2020,Virtual
477,Monthly,1/1/2021,1/31/2021,Virtual
470,Monthly,2/1/2021,2/28/2021,Virtual
467,Monthly,3/1/2021,3/31/2021,Virtual
465,Monthly,4/1/2021,4/30/2021,In-person
465,Monthly,5/1/2021,5/31/2021,In-person
641,Monthly,8/18/2020,8/31/2020,Hybrid
641,Monthly,9/1/2020,9/30/2020,Hybrid
640,Monthly,10/1/2020,10/31/2020,Hybrid
640,Monthly,11/1/2020,11/30/2020,Hybrid
640,Monthly,12/1/2020,12/31/2020,Hybrid
639,Monthly,1/1/2021,1/31/2021,Hybrid
641,Monthly,2/1/2021,2/28/2021,Hybrid
639,Monthly,3/1/2021,3/31/2021,Hybrid
646,Monthly,4/1/2021,4/30/2021,Hybrid
644,Monthly,5/1/2021,5/31/2021,Hybrid
2445,Monthly,8/18/2020,8/31/2020,Hybrid
2445,Monthly,9/1/2020,9/30/2020,Hybrid
2456,Monthly,10/1/2020,10/31/2020,Hybrid
2452,Monthly,11/1/2020,11/30/2020,Hybrid
2453,Monthly,12/1/2020,12/31/2020,Hybrid
2450,Monthly,1/1/2021,1/31/2021,Hybrid
2415,Monthly,2/1/2021,2/28/2021,Hybrid
2411,Monthly,3/1/2021,3/31/2021,Hybrid
2406,Monthly,4/1/2021,4/30/2021,Hybrid
2402,Monthly,5/1/2021,5/31/2021,Hybrid
1947,Monthly,8/18/2020,8/31/2020,Hybrid
1947,Monthly,9/1/2020,9/30/2020,Hybrid
1956,Monthly,10/1/2020,10/31/2020,Hybrid
1955,Monthly,11/1/2020,11/30/2020,Hybrid
1954,Monthly,12/1/2020,12/31/2020,Hybrid
1954,Monthly,1/1/2021,1/31/2021,Hybrid
1957,Monthly,2/1/2021,2/28/2021,Hybrid
1960,Monthly,3/1/2021,3/31/2021,Hybrid
1956,Monthly,4/1/2021,4/30/2021,Hybrid
1956,Monthly,5/1/2021,5/31/2021,Hybrid
396,Monthly,8/18/2020,8/31/2020,Hybrid
396,Monthly,9/1/2020,9/30/2020,Hybrid
400,Monthly,10/1/2020,10/31/2020,Hybrid
403,Monthly,11/1/2020,11/30/2020,Hybrid
410,Monthly,12/1/2020,12/31/2020,Hybrid
409,Monthly,1/1/2021,1/31/2021,Hybrid
407,Monthly,2/1/2021,2/28/2021,Hybrid
409,Monthly,3/1/2021,3/31/2021,Hybrid
409,Monthly,4/1/2021,4/30/2021,Hybrid
407,Monthly,5/1/2021,5/31/2021,Hybrid
526,Monthly,8/18/2020,8/31/2020,Hybrid
526,Monthly,9/1/2020,9/30/2020,Hybrid
516,Monthly,10/1/2020,10/31/2020,Hybrid
517,Monthly,11/1/2020,11/30/2020,Hybrid
519,Monthly,12/1/2020,12/31/2020,Hybrid
524,Monthly,1/1/2021,1/31/2021,Hybrid
518,Monthly,2/1/2021,2/28/2021,Hybrid
512,Monthly,3/1/2021,3/31/2021,Hybrid
513,Monthly,4/1/2021,4/30/2021,Hybrid
511,Monthly,5/1/2021,5/31/2021,Hybrid
851,Monthly,8/18/2020,8/31/2020,Hybrid
851,Monthly,9/1/2020,9/30/2020,Hybrid
862,Monthly,10/1/2020,10/31/2020,Hybrid
862,Monthly,11/1/2020,11/30/2020,Hybrid
864,Monthly,12/1/2020,12/31/2020,Hybrid
863,Monthly,1/1/2021,1/31/2021,Hybrid
866,Monthly,2/1/2021,2/28/2021,Hybrid
870,Monthly,3/1/2021,3/31/2021,Hybrid
870,Monthly,4/1/2021,4/30/2021,Hybrid
872,Monthly,5/1/2021,5/31/2021,Hybrid
1082,Monthly,8/18/2020,8/31/2020,Hybrid
1082,Monthly,9/1/2020,9/30/2020,Hybrid
1071,Monthly,10/1/2020,10/31/2020,Hybrid
1074,Monthly,11/1/2020,11/30/2020,Hybrid
1085,Monthly,12/1/2020,12/31/2020,Hybrid
1089,Monthly,1/1/2021,1/31/2021,Hybrid
1100,Monthly,2/1/2021,2/28/2021,Hybrid
1112,Monthly,3/1/2021,3/31/2021,Hybrid
1113,Monthly,4/1/2021,4/30/2021,Hybrid
1115,Monthly,5/1/2021,5/31/2021,Hybrid
496,Monthly,8/18/2020,8/31/2020,Hybrid
496,Monthly,9/1/2020,9/30/2020,Hybrid
503,Monthly,10/1/2020,10/31/2020,Hybrid
506,Monthly,11/1/2020,11/30/2020,Hybrid
507,Monthly,12/1/2020,12/31/2020,Hybrid
507,Monthly,1/1/2021,1/31/2021,Hybrid
516,Monthly,2/1/2021,2/28/2021,Hybrid
515,Monthly,3/1/2021,3/31/2021,Hybrid
519,Monthly,4/1/2021,4/30/2021,Hybrid
519,Monthly,5/1/2021,5/31/2021,Hybrid
781,Monthly,8/18/2020,8/31/2020,Hybrid
781,Monthly,9/1/2020,9/30/2020,Hybrid
781,Monthly,10/1/2020,10/31/2020,Hybrid
785,Monthly,11/1/2020,11/30/2020,Hybrid
791,Monthly,12/1/2020,12/31/2020,Hybrid
785,Monthly,1/1/2021,1/31/2021,Hybrid
797,Monthly,2/1/2021,2/28/2021,Hybrid
801,Monthly,3/1/2021,3/31/2021,Hybrid
