enrollment,interval,start,end,model
3163,Monthly,9/1/2020,9/30/2020,100% Remote
3163,Monthly,10/1/2020,10/31/2020,Not Available
3163,Monthly,11/1/2020,11/30/2020,Small Groups + Remote
3163,Monthly,12/1/2020,12/31/2020,
,Weekly,1/1/2021,1/10/2021,
,Weekly,1/11/2021,1/17/2021,
,Weekly,1/18/2021,1/24/2021,
3042,Weekly,1/25/2021,1/31/2021,Small Groups + Remote
,Weekly,2/1/2021,2/7/2021,
3061,Weekly,2/8/2021,2/14/2021,Phase-In
3099,Weekly,2/15/2021,2/21/2021,Phase-In
3099,Weekly,2/22/2021,2/28/2021,Phase-In
2974,Weekly,3/1/2021,3/7/2021,Phase-In
2975,Weekly,3/8/2021,3/14/2021,Phase-In
2975,Weekly,3/15/2021,3/21/2021,Phase-In
2975,Weekly,3/22/2021,3/28/2021,Phase-In
2975,Weekly,3/29/2021,4/4/2021,Partial In-Person for All Students
3009,Weekly,4/12/2021,4/18/2021,Partial In-Person for All Students
3009,Weekly,4/19/2021,4/25/2021,Partial In-Person for All Students
3009,Weekly,4/26/2021,5/2/2021,Partial In-Person for All Students
3026,Weekly,5/3/2021,5/9/2021,Partial In-Person for All Students
3026,Weekly,5/10/2021,5/16/2021,Partial In-Person for All Students
3026,Weekly,5/17/2021,5/23/2021,Partial In-Person for All Students
3026,Weekly,5/24/2021,5/30/2021,Partial In-Person for All Students
3014,Weekly,5/31/2021,6/6/2021,Partial In-Person for All Students
590,Monthly,9/1/2020,9/30/2020,Phase-In
590,Monthly,10/1/2020,10/31/2020,Partial In-Person for All Students
590,Monthly,11/1/2020,11/30/2020,Partial In-Person for All Students
590,Monthly,12/1/2020,12/31/2020,
,Weekly,1/1/2021,1/10/2021,
,Weekly,1/11/2021,1/17/2021,
583,Weekly,1/18/2021,1/24/2021,Typical/Traditional In-Person
583,Weekly,1/25/2021,1/31/2021,Typical/Traditional In-Person
583,Weekly,2/1/2021,2/7/2021,Typical/Traditional In-Person
,Weekly,2/8/2021,2/14/2021,
,Weekly,2/15/2021,2/21/2021,
583,Weekly,2/22/2021,2/28/2021,Partial In-Person for All Students
583,Weekly,3/1/2021,3/7/2021,Partial In-Person for All Students
584,Weekly,3/8/2021,3/14/2021,Partial In-Person for All Students
584,Weekly,3/15/2021,3/21/2021,Partial In-Person for All Students
,Weekly,3/22/2021,3/28/2021,
,Weekly,3/29/2021,4/4/2021,
599,Weekly,4/12/2021,4/18/2021,Partial In-Person for All Students
599,Weekly,4/19/2021,4/25/2021,Partial In-Person for All Students
599,Weekly,4/26/2021,5/2/2021,Partial In-Person for All Students
,Weekly,5/3/2021,5/9/2021,
599,Weekly,5/10/2021,5/16/2021,Typical/Traditional In-Person
599,Weekly,5/17/2021,5/23/2021,Typical/Traditional In-Person
,Weekly,5/24/2021,5/30/2021,
,Weekly,5/31/2021,6/6/2021,
