product_id,district_id,date,percent_access,engagement_index
64947,1039,2020-01-01,0.09,0.91
52758,1039,2020-01-01,0.09,1.83
25559,1039,2020-01-01,0.09,13.71
13496,1039,2020-01-01,0.09,4.57
94984,1039,2020-01-01,0.09,1.83
95731,1039,2020-01-01,0.91,59.41
80616,1039,2020-01-01,0.27,6.4
47364,1039,2020-01-01,0.18,10.05
57949,1039,2020-01-01,0.09,1.83
68019,1039,2020-01-01,0.09,3.66
53399,1039,2020-01-01,0.09,4.57
69429,1039,2020-01-01,0.09,5.48
73952,1039,2020-01-01,0.09,3.66
33562,1039,2020-01-01,0.09,2.74
32213,1039,2020-01-01,0.18,6.4
54430,1039,2020-01-01,0.09,0.91
26488,1039,2020-01-01,0.82,44.79
36620,1039,2020-01-01,0.18,20.11
99916,1039,2020-01-01,0.64,26.51
54827,1039,2020-01-01,0.18,21.94
98265,1039,2020-01-01,0.09,3.66
69827,1039,2020-01-01,0.09,0.91
92993,1039,2020-01-01,0.64,83.18
55007,1039,2020-01-01,0.09,2.74
90153,1039,2020-01-01,0.18,6.4
95859,1039,2020-01-02,0.82,115.17
29916,1039,2020-01-02,0.09,1.83
16164,1039,2020-01-02,0.09,1.83
45811,1039,2020-01-02,0.37,27.42
99916,1039,2020-01-02,10.79,382.08
16633,1039,2020-01-02,0.27,7.31
58840,1039,2020-01-02,0.09,4.57
55589,1039,2020-01-02,0.09,2.74
77698,1039,2020-01-02,0.09,0.91
20594,1039,2020-01-02,0.09,0.91
18090,1039,2020-01-02,0.09,1.83
13496,1039,2020-01-02,2.83,122.49
69429,1039,2020-01-02,0.09,0.91
32340,1039,2020-01-02,0.09,1.83
85072,1039,2020-01-02,0.09,0.91
76459,1039,2020-01-02,0.09,0.91
18904,1039,2020-01-02,0.09,11.88
99066,1039,2020-01-02,0.09,4.57
30851,1039,2020-01-02,0.09,0.91
46831,1039,2020-01-02,0.09,6.4
95731,1039,2020-01-02,13.71,1112.43
51853,1039,2020-01-02,0.09,1.83
30025,1039,2020-01-02,0.09,2.74
25559,1039,2020-01-02,7.68,1591.41
36692,1039,2020-01-02,0.09,0.91
64947,1039,2020-01-02,1.01,44.79
26488,1039,2020-01-02,8.87,2084.1
83076,1039,2020-01-02,0.09,1.83
14168,1039,2020-01-02,0.91,90.49
85975,1039,2020-01-02,0.09,3.66
61384,1039,2020-01-02,2.47,378.43
54827,1039,2020-01-02,1.28,153.56
47364,1039,2020-01-02,9.41,719.38
57949,1039,2020-01-02,1.28,215.72
79673,1039,2020-01-02,0.09,0.91
98265,1039,2020-01-02,1.74,234.92
98343,1039,2020-01-02,0.09,0.91
81189,1039,2020-01-02,0.09,0.91
28199,1039,2020-01-02,0.27,72.21
60286,1039,2020-01-02,0.27,4.57
61441,1039,2020-01-02,1.1,35.65
92993,1039,2020-01-02,16.73,2221.21
72713,1039,2020-01-02,0.18,4.57
97280,1039,2020-01-02,3.2,625.23
50712,1039,2020-01-02,0.27,25.59
16468,1039,2020-01-02,1.01,20.11
64838,1039,2020-01-02,0.09,0.91
24504,1039,2020-01-02,0.09,0.91
24829,1039,2020-01-02,0.27,10.97
